,interviewID,iterationID,interviewer,interviewee,reward,interviewFile
0,1,1,"Yeah. So  I'm hearing, this is a really difficult choices and ways of looking at this decision that you're making, both really important to you. Thinking of those two choices that you're laying out, what is the hardest thing, do you think about that, for you in mak ing this decision?","So I know that there's risk in just going out, right? Of course, there's the safety of having a regular pay check, right? And I'm also tenured. So there's stability. There's also, I think, there's a character at one end here that  my institution has an employee benefit that if my kids are ready for college, they have the ability to apply to about 1500 schools all across the country and get free tuition. So that safety, right? That may not be like income right now but that can trans late into income, right? And then again I know that there's ups and downs with consulting, that there could be a good season here and there could be a bad season there. And so I think the challenge for me before I was like, ""Oh, well, what if I have a bad season?"" Right? What if I am not able to take care of my family? Then that would be like, devastating, what if they became homeless, right?   Because I'm not being able to provide. And so that's been like torn, right? Should I go off and take a risk of not being... Right? Which the flip side of that, of course, I could probably make a lot more, not probably, I know I can, right? And do I let go of this incentive here. And then when it comes to college time, what if I don't provide enough that I'm able to pay  for the kids to go to college? Because I really I want to create this legacy for my family. And I also want to put them in a situation where they are not having to be crippled by student loans and student debt.",,Warren-GEI.csv
1,1,2,And so I am hearing a lot about what w ould be most at risk or most at stake for you in making a wrong decision? Am I hearing what's most at stake for you? Is there anything that's more at stake?,"I think part of it is, of course, there will be a sense of disappointment that I would expe rience personally, but I think that the shame and the disappointment that others will place on me, I guess, is also a motivation, right? I think it would be... I definitely don't want to disappoint my family. So that's something that's important to me. So probably I think a lot of it has to do with the legacy, but I remember how it felt going through that and having to be separated from my brothers and my sister and having to just rely on my aunt to be able to take care of me. And that's something that I've  always like really vowed not to ever have happened. I think it has driven me in many regards. I wanted to be successful. I wanted the independence. I wanted the freedom to be able to do what I wanted to do without having to be controlled by an aunt or a f amily member or be limited by my own financial means.",,Warren-GEI.csv
2,1,3,"And this sounds like a crazy question, but I'll just ask , in terms of you mentioned the disappointment, others being disappointed in you and equating that to shame and what would be the worst thi ng about that for you to be that person or that man who's head of his family? What's that?","Mm-hmm (affirmative). So  I think it comes from early programming, right? I was the fifth of six children and I was the youngest boy. And for some reason my mom always saw me as being the most responsible one. And I think it was a burden that was placed on me to be responsible one  because even in experiencing poverty, I got it from a pretty young age and I knew what it meant for my mom to be struggling. And so I knew that like asking for excess or wasting stuff was not something that made sense. I didn't need to burden her any furt her like all this stuff that was going on.",,Warren-GEI.csv
3,1,4,"Yeah. And so when you think about that, can you see an upside to... Or can you see any time in the future, even now or in the future, where it will be okay to disappoint someone or to disappoint your family?","Yeah. I think that for me, especially in terms of my extended family, I don't think that they have the grip on me as much as they did before. I make decisions now that I think are best for me and that are best for my current family in terms of my wife and kids. To disappoint  my kids and my wife would be a hard one, right? And I think I've got a pattern of good decisions. I think they trust me to make good choices. I trust myself to make good choices. And it is possible certainly a choice that I make may not necessarily turn o ut to be the best one, right? Because the reality is I can't control the outcomes and I can't be attached to the outcomes. I may do what I think is best but then situations beyond my control may happen. I might make an investment, for example, COVID -19 or COVID -20 might occur and it could totally derail stuff.   So that's certainly possible. And if that were to happen for me, I think I would get over it and I could shield myself from any type of judgment that they experience. I feel like I would probably be defensive because I would go back to the fact that I can't control the outcomes that given the information that I had, I did what I thought was best and I think I bounce back pretty easily.",,Warren-GEI.csv
4,1,5,"And can you say hypothetically a situation where whatever de cision you choose, staying or going, moving out to being a consultant, that both would be okay? Or either would be okay?","Yeah, I think so. Because I think that everywhere I get to be a vessel, right? I would just be playing in a different en vironment, right? I would also be working with clients and organizations in schools where the transformation can be just not even more impactful. I'm relying on, right now, teaching the students to teach others, right? To keep the world going. But I think I could do the same thing in terms of  4 organizations as well. I have pretty similar impact during my trainings. I think I have a way of serving as a vessel of transformation. So if I were to go, I think that would be I could certainly take that value with me. And if I were to stay I still consult part time. So I still would get to be in the environment and to be able to express my passion with my students and also express my passion with my external clients as well.",,Warren-GEI.csv
5,1,6,"So I'm hearing such a strong value a round, and connection to purpose, around being a vessel of transformation. How do you know that that's a good way to be or how you want to be? How do you know that?","It is what keeps me up at night. Ideas keep coming to me. And it's not ideas about being rich, it's ideas about how I can really help to support and really help people to see the world differently, especially as it comes to navigating cultural differences and similarities. I'm awake in pretty much every night around 3:30 with like all of  these ideas that are just dying to be birth. I don't know what I would be without these ideas. And it's not something that just started like yesterday, it's ongoing. So I feel like if this is not a calling, then I don't know what a calling is.",,Warren-GEI.csv
6,1,7,"Yeah.  And so follow on from that is like, I know you said, ""I don't know what I would be without sense of that calling."" I just wonder if you could ever see a possibility of being in the world without that?","Yeah. It gives me juice. If that were not, let 's say, God forbid, I were crippled or I were deaf or mute or something or become dumb, I should say, and not being able to fully exercise that, I think I would find a way. It could be through writing. But also I think because I have invested so much in ot her people doing the work because of  teachers who are teaching young minds, then I could still see this work living on, even outside of me. So either way, even if it's not me personally, I think the seeds that I planted will ultimately  germinate.",,Warren-GEI.csv
7,1,8,Okay. Can you see any downside to this wonderful deep calling that you have?,"I think a value that I have that goes alongside that is to be with my family, right? I really enjoy that. And this calling at times requires me to travel or to be in isolation and that is hard for me. I don't want to lose my soul or my commitment to my fam ily while I am working on transforming the world or being the vessel transmission for others, because my first calling is to be a vessel of transformation for my kids. So the downside is sometimes this can be time consuming and, of course, it robs me of sl eep. And sometimes, of course, the kids would pull the guilt trip, ""You are always traveling or how come you can't do this?"" Right? And so it's how to navigate that. How to balance serving others while serving your family and obviously serving yourself.    5 And so self care gets sacrificed sometimes and care with family, of course, gets sacrificed sometimes. So that's the challenge. I think the possible downside is really getting drowned in this and not necessarily being there to support my kids and my famil y, like I need to, emotionally.",,Warren-GEI.csv
8,1,9,Thank you. Do you have another story to tell?,Yeah. So I feel like it was one that was related to that.,,Warren-GEI.csv
9,1,10,What about there's some emotion for the moment? That's okay.,"Yeah, absolutely. And so this is, I think related to that, and is like the institution has taken a very different turn. We got a new president a few years ago and it all of a sudden felt like really just so corporate and what I knew as a great relational s pace to be in now seems like it's about bottom line. In my mind there was a lot of excessive like spending on buildings and stuff that wasn't consistent with the university's prior values of just small classes and that kind of stuff. And that's led to a ma ss exodus of a lot of people, including a lot of people of color. And it's been frustrating for me to watch my colleagues just come and go. We've lost two from my department. So two of my great colleagues have left the institution in the last three weeks. And we just learned the provost, who is also a person of color, just left yesterday. Just announced yesterday he'll be leaving. And just it's hard. It's really hard and it's challenging.",,Warren-GEI.csv
